Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Tyler Alexander\alexaty01,26,us US,R,L,6' 2",200,Jul 14 1994,3,41,15,4,41,41,0,0,0,0,0,0,0,0,0,0,0,0,1.9,,
Akil Baddoo\baddoak01,22,us US,L,L,6' 1",210,Aug 16 1998,1st,124,107,124,117,0,0,0,0,0,0,56,66,5,117,5,4,8,2.1,,
Matthew Boyd\boydma01,30,us US,L,L,6' 3",234,Feb 2 1991,7,15,15,2,15,15,0,0,0,0,0,0,0,0,0,0,0,0,1.4,$6500000,
Beau Burrows\burrobe01,24,us US,R,R,6' 2",210,Sep 18 1996,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Miguel Cabrera\cabremi01,38,ve VE,R,R,6' 4",249,Apr 18 1983,19,130,127,130,44,0,0,44,0,0,0,0,0,0,0,83,3,0,-0.5,$30000000,
Daz Cameron\camerda01,24,us US,R,R,6' 2",185,Jan 15 1997,2,35,27,35,33,0,0,0,0,0,0,1,15,18,33,2,3,3,-0.1,,
Jeimer Candelario\candeje01,27,us US,B,R,6' 1",221,Nov 24 1993,6,149,149,149,142,0,0,0,0,142,0,0,0,0,0,7,0,0,3.8,$2850000,
Drew Carlton\carltdr01,25,us US,R,R,6' 1",215,Sep 8 1995,1st,4,0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Harold Castro\castrha01,27,ve VE,L,R,5' 10",151,Nov 30 1993,4,106,80,106,99,3,0,15,33,12,43,3,2,0,5,1,15,0,0.0,,
Willi Castro\castrwi01,24,pr PR,B,R,6' 1",170,Apr 24 1997,3,125,115,125,115,0,0,0,91,0,20,10,0,0,10,6,6,4,-0.7,,
Jose Cisnero\cisnejo01,32,do DO,R,R,6' 3",245,Apr 11 1989,5,67,0,5,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$970000,
Miguel Del Pozo\delpomi01,28,do DO,L,L,6' 1",205,Oct 14 1992,3,5,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Buck Farmer\farmebu01,30,us US,L,R,6' 4",232,Feb 20 1991,8,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$1850000,
Jason Foley\foleyja01,25,us US,R,R,6' 4",215,Nov 1 1995,1st,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Michael Fulmer\fulmemi01,28,us US,R,R,6' 3",246,Mar 15 1993,5,52,4,5,52,52,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$3100000,
Kyle Funkhouser\funkhky01,27,us US,R,R,6' 3",225,Mar 16 1994,2,57,2,4,57,57,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,
Bryan Garcia\garcibr01,26,us US,R,R,6' 1",215,Apr 19 1995,3,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,,
Rony Garcia\garciro03,23,do DO,R,R,6' 3",200,Dec 19 1997,2,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Dustin Garneau\garnedu01,33,us US,R,R,6' 2",205,Aug 13 1987,7,20,19,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0.5,$100000,
Niko Goodrum\goodrni01,29,us US,B,R,6' 3",198,Feb 28 1992,5,90,79,90,86,0,0,1,9,0,66,7,8,0,15,1,8,2,0.0,$2100000,
Grayson Greiner\greingr01,28,us US,R,R,6' 6",239,Oct 11 1992,4,31,25,31,31,0,31,0,0,0,0,0,0,0,0,0,1,0,0.0,,
Robbie Grossman\grossro01,31,us US,B,L,6' 0",216,Sep 16 1989,9,156,152,156,146,0,0,0,0,0,0,82,0,73,146,8,3,1,2.9,$5000000,
Eric Haase\haaseer01,28,us US,R,R,5' 10",210,Dec 18 1992,4,98,91,98,86,0,66,1,0,0,0,22,0,0,22,11,6,1,1.9,,
Derek Hill\hillde01,25,us US,R,R,6' 2",190,Dec 30 1995,2,49,41,49,45,0,0,0,0,0,0,0,45,0,45,2,3,3,-0.2,,
Derek Holland\hollade01,34,us US,B,L,6' 2",213,Oct 9 1986,13,39,1,4,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$100000,
Drew Hutchison\hutchdr01,30,us US,L,R,6' 3",215,Aug 22 1990,6,9,2,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$100000,
